iter	Passed	Remaining
2136	49921	183685
2137	49947	183669
2138	49966	183630
2139	49987	183599
2140	50010	183574
2141	50032	183545
2142	50055	183520
2143	50077	183491
2144	50098	183460
2145	50117	183421
2146	50139	183394
2147	50160	183362
2148	50187	183352
2149	50209	183324
2150	50232	183299
2151	50255	183275
2152	50279	183253
2153	50302	183227
2154	50323	183194
2155	50343	183161
2156	50367	183138
2157	50389	183112
2158	50413	183091
2159	50435	183061
2160	50455	183027
2161	50478	183001
2162	50506	182993
2163	50527	182962
2164	50548	182932
2165	50569	182901
2166	50592	182875
2167	50617	182857
2168	50638	182827
2169	50660	182798
2170	50684	182777
2171	50713	182773
2172	50735	182746
2173	50757	182718
2174	50782	182699
2175	50806	182680
2176	50841	182697
2177	50863	182670
2178	50885	182641
2179	50909	182620
2180	50926	182575
2181	50948	182545
2182	50974	182530
2183	50993	182491
2184	51016	182469
2185	51041	182449
2186	51064	182426
2187	51085	182396
2188	51106	182364
2189	51132	182347
2190	51155	182323
2191	51178	182301
2192	51200	182270
2193	51223	182245
2194	51244	182214
2195	51266	182186
2196	51287	182155
2197	51312	182136
2198	51332	182104
2199	51351	182062
2200	51370	182027
2201	51393	182000
2202	51417	181980
2203	51439	181953
2204	51463	181931
2205	51488	181913
2206	51511	181889
2207	51532	181857
2208	51554	181830
2209	51575	181798
2210	51598	181773
2211	51625	181764
2212	51651	181747
2213	51671	181715
2214	51694	181689
2215	51717	181663
2216	51736	181627
2217	51758	181596
2218	51779	181567
2219	51803	181545
2220	51826	181519
2221	51850	181501
2222	51875	181480
2223	51896	181449
2224	51917	181418
2225	51937	181386
2226	51961	181363
2227	51981	181330
2228	52003	181301
2229	52032	181296
2230	52056	181276
2231	52077	181244
2232	52104	181233
2233	52129	181216
2234	52150	181185
2235	52171	181152
2236	52192	181123
2237	52213	181091
2238	52237	181069
2239	52259	181042
2240	52284	181023
2241	52302	180981
2242	52326	180960
2243	52346	180927
2244	52367	180894
2245	52387	180861
2246	52411	180839
2247	52431	180805
2248	52449	180763
2249	52470	180732
2250	52491	180699
2251	52514	180675
2252	52537	180651
2253	52559	180623
2254	52588	180621
2255	52609	180588
2256	52637	180579
2257	52661	180559
2258	52684	180534
2259	52703	180498
2260	52728	180480
2261	52758	180479
2262	52777	180442
2263	52798	180411
2264	52818	180376
2265	52845	180365
2266	52868	180342
2267	52892	180318
2268	52912	180286
2269	52934	180256
2270	52956	180229
2271	52978	180202
2272	53000	180173
2273	53021	180141
2274	53048	180132
2275	53071	180108
2276	53096	180089
2277	53120	180069
2278	53141	180038
2279	53160	179998
2280	53185	179982
2281	53213	179974
2282	53237	179954
2283	53258	179923
2284	53281	179896
2285	53301	179864
2286	53325	179842
2287	53352	179831
2288	53374	179804
2289	53408	179817
2290	53441	179826
2291	53466	179808
2292	53489	179781
2293	53515	179769
2294	53545	179767
2295	53572	179758
2296	53599	179747
2297	53621	179717
2298	53644	179693
2299	53667	179669
2300	53689	179642
2301	53702	179584
2302	53723	179553
2303	53750	179541
2304	53767	179495
2305	53788	179466
2306	53810	179437
2307	53831	179406
2308	53860	179403
2309	53883	179378
2310	53904	179347
2311	53925	179316
2312	53948	179290
2313	53973	179275
2314	53998	179255
2315	54028	179253
2316	54053	179238
2317	54079	179221
2318	54104	179204
2319	54131	179195
2320	54156	179175
2321	54187	179178
2322	54208	179147
2323	54237	179143
2324	54267	179139
2325	54302	179154
2326	54325	179130
2327	54350	179113
2328	54375	179095
2329	54400	179078
2330	54425	179060
2331	54451	179045
2332	54474	179019
2333	54500	179006
2334	54521	178976
2335	54542	178945
2336	54565	178918
2337	54587	178890
2338	54609	178864
2339	54632	178838
2340	54654	178813
2341	54676	178784
2342	54700	178761
2343	54722	178734
2344	54748	178721
2345	54771	178694
2346	54789	178655
2347	54810	178624
2348	54830	178589
2349	54852	178563
2350	54873	178531
2351	54893	178497
2352	54914	178467
2353	54941	178453
2354	54967	178440
2355	54988	178410
2356	55011	178384
2357	55037	178369
2358	55061	178348
2359	55086	178331
2360	55112	178316
2361	55143	178318
2362	55168	178298
2363	55190	178272
2364	55215	178252
2365	55244	178249
2366	55265	178216
2367	55288	178193
2368	55310	178164
2369	55330	178130
2370	55351	178101
2371	55375	178077
2372	55395	178044
2373	55417	178016
2374	55439	177988
2375	55462	177965
2376	55483	177933
2377	55503	177901
2378	55525	177872
2379	55548	177848
2380	55570	177820
2381	55600	177818
2382	55630	177816
2383	55651	177786
2384	55674	177762
2385	55700	177746
2386	55722	177719
2387	55743	177687
2388	55766	177663
2389	55788	177634
2390	55809	177606
2391	55831	177578
2392	55855	177557
2393	55882	177543
2394	55913	177544
2395	55943	177543
2396	55966	177519
2397	55995	177512
2398	56017	177485
2399	56041	177465
2400	56062	177433
2401	56092	177430
2402	56114	177405
2403	56137	177378
2404	56158	177349
2405	56180	177320
2406	56202	177292
2407	56226	177271
2408	56251	177255
2409	56275	177233
2410	56297	177206
2411	56325	177195
2412	56347	177167
2413	56372	177150
2414	56397	177132
2415	56421	177110
2416	56442	177080
2417	56463	177051
2418	56486	177026
2419	56509	177002
2420	56532	176975
2421	56555	176952
2422	56577	176924
2423	56601	176902
2424	56623	176874
2425	56646	176852
2426	56681	176862
2427	56699	176823
2428	56724	176805
2429	56746	176779
2430	56770	176757
2431	56792	176728
2432	56815	176704
2433	56838	176681
2434	56858	176647
2435	56875	176603
2436	56906	176604
2437	56932	176588
2438	56956	176566
2439	56979	176542
2440	57004	176523
2441	57029	176505
2442	57053	176483
2443	57075	176456
2444	57102	176444
2445	57131	176438
2446	57155	176417
2447	57177	176392
2448	57199	176364
2449	57220	176332
2450	57252	176334
2451	57273	176306
2452	57301	176297
2453	57327	176279
2454	57350	176255
2455	57375	176238
2456	57399	176216
2457	57425	176202
2458	57450	176183
2459	57473	176159
2460	57499	176142
2461	57522	176118
2462	57544	176092
2463	57568	176069
2464	57600	176073
2465	57623	176047
2466	57647	176025
2467	57669	175998
